"Código";"Linha";"Montadora";"Peça";"Aplicação"
"BR-5026";"Borracha";"Toyota";"PRODUTO DESATIVADO Bucha amortecedor dianteiro inferior Externo ø 41,5mm Interno ø 14,2mm Hilux 2005 em diante";"PRODUTO DESATIVADO Bucha amortecedor dianteiro inferior Externo ø 41,5mm Interno ø 14,2mm Hilux 2005 em diante"
"BR-5027";"Borracha";"Toyota";"Bucha Do Braço Traseiro (maior) Diâmetro do corpo ø 44,0mm Diâmetro da aba ø 54,0mm Entre abas 44,0mm Interno ø 14,2 mm Hilux SW4 de 1996 a 2002 30";"Bucha Do Braço Traseiro (maior) Diâmetro do corpo ø 44,0mm Diâmetro da aba ø 54,0mm Entre abas 44,0mm Interno ø 14,2 mm Hilux SW4 de 1996 a 2002 30"
"BR-5028";"Borracha";"Toyota";"Bucha Do Braço Traseiro (menor) Diâmetro do corpo ø 40,0mm Diâmetro da aba ø 49,0mm Entre abas 38,0mm Interno ø 12,0 mm Hilux SW4 de 1996 a";"Bucha Do Braço Traseiro (menor) Diâmetro do corpo ø 40,0mm Diâmetro da aba ø 49,0mm Entre abas 38,0mm Interno ø 12,0 mm Hilux SW4 de 1996 a"
"BR-5029";"Borracha";"Toyota";"Bucha amortecedor dianteiro inferior Externo ø 42,0mm Interno ø 14,2mm Hilux 2017 em diante";"Bucha amortecedor dianteiro inferior Externo ø 42,0mm Interno ø 14,2mm Hilux 2017 em diante"
"BR-5030";"Borracha";"Toyota";"Borracha do barra estabilizadora dianteira Hilux SW4";"Borracha do barra estabilizadora dianteira Hilux SW4"
"BR-5031";"Borracha";"Toyota";"Borracha do barra estabilizadora traseira Hilux SW4";"Borracha do barra estabilizadora traseira Hilux SW4"
"BR-8006E";"Borracha";"Truck";"Batente de mola lonado truck Comprimento 350,0 mm Largura 90,0 mm Altura 25,0 mm";"Batente de mola lonado truck Comprimento 350,0 mm Largura 90,0 mm Altura 25,0 mm"
"BR-8016";"Borracha";"Truck";"Borracha do amortecedor inferior e superior Interno ø 22,0mm arreta Randon";"Borracha do amortecedor inferior e superior Interno ø 22,0mm arreta Randon"
"BR-8017";"Borracha";"Truck";"Borracha do amortecedor inferior e superior Interno ø 24,0mm Carreta Randon";"Borracha do amortecedor inferior e superior Interno ø 24,0mm Carreta Randon"
"BR-8018";"Borracha";"Truck";"Borracha do amortecedor inferior e superior Interno ø 20,0mm Carreta Randon 38";"Borracha do amortecedor inferior e superior Interno ø 20,0mm Carreta Randon 38"
"BR-1040";"Borracha";"Volkswagen";"Kit de borrachas da barra estabilizadora dianteira 2 Peças";"Kit de borrachas da barra estabilizadora dianteira 2 Peças"
"BR-1041";"Borracha";"Volkswagen";"Kit de borrachas da barra estabilizadora traseira 2 Peças";"Kit de borrachas da barra estabilizadora traseira 2 Peças"
"BR-7022";"Borracha";"Volvo";"Borracha da ponta da barra Estabilizadora Dianteira e traseira Diâmetro do corpo ø 45,2mm Interno ø 20,2mm Entre abas 65,0mm";"Borracha da ponta da barra Estabilizadora Dianteira e traseira Diâmetro do corpo ø 45,2mm Interno ø 20,2mm Entre abas 65,0mm Volvo VM"
"1013A PU";"PU";"Volkswagen";"Borracha da barra estabilizadora traseira";"VW 6.90 - 8.150"
